"State","MI_2019","MI_2009","MI_1990"
"Alabama","51700","40500","41326"
"Alaska","75500","67000","72519"
"Arizona","62100","48700","48232"
"Arkansas","49000","37800","37035"
"California","80400","58900","62694"
"Colorado","77100","55400","52785"
"Connecticut","78800","67000","73067"
"Delaware","70200","56900","61077"
"Florida","92300","44700","48132"
"Georgia","59200","47600","50825"
"Hawaii","62000","64100","68002"
"Idaho","83100","44900","44233"
"Illinois","61000","54000","56484"
"Indiana","69200","45400","50433"
"Iowa","57600","48000","45936"
"Kansas","61700","47800","47795"
"Kentucky","62100","40100","39464"
"Louisiana","52300","42500","38440"
"Maine","51100","45700","48781"
"Maryland","58900","69300","68978"
"Massachusetts","86700","64100","64715"
"Michigan","85800","45300","54326"
"Minnesota","59600","55600","54132"
"Mississippi","74600","36600","35265"
"Missouri","45800","45200","46168"
"Montana","57400","42300","40259"
"Nebraska","57200","47400","45562"
"Nevada","63200","53300","54310"
"New Hampshire","63300","60600","63624"
"New Jersey","77900","68300","71677"
"New Mexico","85800","43000","42184"
"New York","51900","54700","57732"
"North Carolina","72100","43700","46668"
"North Dakota","57300","47800","40654"
"Ohio","64600","45400","50274"
"Oklahoma","58600","41700","41291"
"Oregon","54400","48500","47724"
"Pennsylvania","67100","49500","50909"
"Rhode Island","63500","54100","56359"
"South Carolina","71200","42400","45983"
"South Dakota","56200","45000","39410"
"Tennessee","59500","41700","43445"
"Texas","56100","48300","47314"
"Utah","64000","55100","51612"
"Vermont","75800","51600","52175"
"Virginia","63000","59300","58368"
"Washington","76500","56500","54612"
"West Virginia","78700","37400","36419"
"Wisconsin","48900","50000","51563"
"Wyoming","64200","52700","47454"
